UnwantedVendors,Vendor URL
anydesk,https://anydesk.com/
gotomypc,https://get.gotomypc.com/
screenconnect,https://screenconnect.connectwise.com/
simplehelp,https://simple-help.com/
netsupport,https://www.netsupportsoftware.com/
atera,https://www.atera.com/
gotohttp,https://gotohttp.com/
splashtop,https://www.splashtop.com/
ammyy,https://www.ammyy.com/
idrive,https://www.remotepc.com/
remote utilities,https://www.remoteutilities.com/
sysinternals,https://learn.microsoft.com/en-us/sysinternals/
SoftPerfect,https://www.softperfect.com/
angryip,https://angryip.org/
Roshal ,https://www.win-rar.com/
FileZilla,https://filezilla-project.org/
rclone,https://rclone.org/
wj32,https://processhacker.sourceforge.io/
Python,https://www.python.org/
joeware,https://www.joeware.net/
NirSoft,https://www.nirsoft.net/
Nanosystems,https://www.supremocontrol.com/
n-able,https://www.n-able.com/
Gravitational,https://goteleport.com/
